Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Aganampudi,01-Apr-21,55.00;80.00;1815.00;25.00,90.00;130.00;2935.00;45.00,185.00 ;275.00;6150.00;90.00,200.00 ;300.00;6710.00;100.00,290.00 ;435.00;9645.00;145.00,290.00 ;435.00;9645.00;145.00,350.00 ;530.00;11740.00;175.00,
Nannur,01-Apr-21,75.00;110.00;2470.00;NA,115.00;175.00;3850.00;NA,235.00 ;355.00;7895.00;NA,365.00 ;545.00;12100.00;NA,365.00 ;545.00;12100.00;NA,365.00 ;545.00;12100.00;NA,460.00 ;695.00;15400.00;NA,
Nathavalasa/ Vizianagaram,01-Apr-21,65.00;95.00;2110.00;30.00,100.00;155.00;3405.00;50.00,215.00 ;320.00;7135.00;105.00,235.00 ;350.00;7785.00;115.00,335.00 ;505.00;11190.00;170.00,335.00 ;505.00;11190.00;170.00,410.00 ;615.00;13625.00;205.00,
Palempalli,01-Apr-21,40.00;55.00;1260.00;NA,60.00;90.00;2035.00;NA,130.00 ;190.00;4265.00;NA,200.00 ;300.00;6685.00;NA,200.00 ;300.00;6685.00;NA,200.00 ;300.00;6685.00;NA,245.00 ;365.00;8140.00;NA,
Patancheru (Prograssive Construction Toll) (MoRTH),09-Jul-2013          ,22.00;33.00;660.00;22.00,44.00;66.00;1320.00;44.00,81.00 ;122.00;2430.00;81.00,176.00 ;264.00;2430.00;176.00,,,,09-Jul-15
Mekalavaripalli,01-Apr-21,40.00;60.00;1325.00;20.00,65.00;95.00;2140.00;30.00,135.00 ;200.00;4490.00;65.00,145.00 ;220.00;4895.00;75.00,210.00 ;315.00;7040.00;105.00,210.00 ;315.00;7040.00;105.00,255.00 ;385.00;8570.00;130.00,
Raviguntapalli,01-Apr-21,30.00;45.00;1050.00;15.00,50.00;75.00;1695.00;25.00,105.00 ;160.00;3550.00;55.00,115.00 ;175.00;3875.00;60.00,165.00 ;250.00;5570.00;85.00,165.00 ;250.00;5570.00;85.00,205.00 ;305.00;6780.00;100.00,
Rapur,01-Apr-21,35.00;50.00;1125.00;15.00,55.00;80.00;1815.00;25.00,115.00 ;170.00;3800.00;55.00,125.00 ;185.00;4145.00;60.00,180.00 ;270.00;5960.00;90.00,180.00 ;270.00;5960.00;90.00,220.00 ;325.00;7255.00;110.00,
Pottipadu,01-Apr-21,45.00;65.00;1425.00;20.00,70.00;105.00;2305.00;35.00,145.00 ;215.00;4830.00;70.00,160.00 ;235.00;5270.00;80.00,225.00 ;340.00;7570.00;115.00,225.00 ;340.00;7570.00;115.00,275.00 ;415.00;9220.00;140.00,
Madapam,01-Apr-21,30.00;45.00;950.00;15.00,45.00;70.00;1535.00;25.00,95.00 ;145.00;3215.00;50.00,105.00 ;160.00;3505.00;55.00,150.00 ;225.00;5040.00;75.00,150.00 ;225.00;5040.00;75.00,185.00 ;275.00;6135.00;90.00,
Main Toll (Panchvati),01-Apr-21,39.00;234.00;7018.00;NA,68.00;410.00;12314.00;NA,137.00 ;821.00;24628.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,274.00 ;1642.00;49255.00;NA,
Laxmipuram,01-Apr-21,120.00;185.00;4070.00;60.00,195.00;295.00;6580.00;100.00,415.00 ;620.00;13785.00;205.00,450.00 ;675.00;15035.00;225.00,650.00 ;975.00;21615.00;325.00,650.00 ;975.00;21615.00;325.00,790.00 ;1185.00;26315.00;395.00,
Surjapur,01-Apr-21,80.00;120.00;2630.00;40.00,125.00;190.00;4250.00;65.00,265.00 ;400.00;8900.00;135.00,290.00 ;435.00;9710.00;145.00,420.00 ;630.00;13960.00;210.00,420.00 ;630.00;13960.00;210.00,510.00 ;765.00;16995.00;255.00,
Sali Bamandanga,01-Apr-21,80.00;125.00;2735.00;40.00,135.00;200.00;4420.00;65.00,280.00 ;415.00;9265.00;140.00,305.00 ;455.00;10105.00;150.00,435.00 ;655.00;14530.00;220.00,435.00 ;655.00;14530.00;220.00,530.00 ;795.00;17690.00;265.00,
Sulkhapara,01-Apr-21,55.00;85.00;1855.00;30.00,90.00;135.00;2995.00;45.00,190.00 ;280.00;6275.00;95.00,205.00 ;310.00;6845.00;105.00,295.00 ;445.00;9840.00;150.00,295.00 ;445.00;9840.00;150.00,360.00 ;540.00;11975.00;180.00,
Rasampalayan,01-Sep-2019          ,45.00;70.00;1390.00;NA,80.00;120.00;2435.00;NA,160.00 ;245.00;4875.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,31-Aug-20
Mahasamudram,01-Apr-21,85.00;125.00;2785.00;40.00,135.00;200.00;4495.00;65.00,285.00 ;425.00;9420.00;140.00,310.00 ;460.00;10275.00;155.00,445.00 ;665.00;14770.00;220.00,445.00 ;665.00;14770.00;220.00,540.00 ;810.00;17980.00;270.00,
Rampura,01-Apr-21,80.00;120.00;2710.00;40.00,130.00;195.00;4380.00;65.00,275.00 ;415.00;9175.00;140.00,300.00 ;450.00;10005.00;150.00,430.00 ;645.00;14385.00;215.00,430.00 ;645.00;14385.00;215.00,525.00 ;790.00;17510.00;265.00,
Marur,01-Apr-21,115.00;175.00;3905.00;60.00,190.00;285.00;6310.00;95.00,395.00 ;595.00;13220.00;200.00,435.00 ;650.00;14425.00;215.00,620.00 ;935.00;20735.00;310.00,620.00 ;935.00;20735.00;310.00,755.00 ;1135.00;25240.00;380.00,
Krishnavaram,01-Apr-21,90.00;135.00;2995.00;45.00,145.00;220.00;4835.00;75.00,305.00 ;455.00;10135.00;150.00,330.00 ;495.00;11055.00;165.00,475.00 ;715.00;15890.00;240.00,475.00 ;715.00;15890.00;240.00,580.00 ;870.00;19345.00;290.00,
Palsit,01-Apr-21,90.00;135.00;2975.00;45.00,145.00;215.00;4805.00;70.00,300.00 ;455.00;10070.00;150.00,330.00 ;495.00;10985.00;165.00,475.00 ;710.00;15790.00;235.00,475.00 ;710.00;15790.00;235.00,575.00 ;865.00;19220.00;290.00,
Nivedita Setu,04-Jul-2019          ,,,,,,,,03-Jul-20
Satbhaiya,01-Apr-21,55.00;80.00;1785.00;25.00,85.00;130.00;2880.00;45.00,180.00 ;270.00;6040.00;90.00,200.00 ;295.00;6590.00;100.00,285.00 ;425.00;9470.00;140.00,285.00 ;425.00;9470.00;140.00,345.00 ;520.00;11530.00;175.00,
Secondary Toll (Gosthani Gate /Sheela Nagar),01-Apr-21,39.00;234.00;7018.00;NA,68.00;410.00;12314.00;NA,137.00 ;821.00;24628.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,274.00 ;1642.00;49255.00;NA,
Sonapetya,01-Apr-21,90.00;140.00;3060.00;45.00,150.00;225.00;4945.00;75.00,310.00 ;465.00;10365.00;155.00,340.00 ;510.00;11305.00;170.00,490.00 ;730.00;16255.00;245.00,490.00 ;730.00;16255.00;245.00,595.00 ;890.00;19790.00;295.00,
Mejia,01-Apr-21,40.00;65.00;1400.00;20.00,70.00;100.00;2260.00;35.00,140.00 ;215.00;4730.00;70.00,155.00 ;230.00;5160.00;75.00,225.00 ;335.00;7420.00;110.00,225.00 ;335.00;7420.00;110.00,270.00 ;405.00;9035.00;135.00,
Namkhna,01-Apr-21,10.00;15.00;370.00;5.00,20.00;25.00;595.00;10.00,40.00 ;55.00;1250.00;20.00,40.00 ;60.00;1365.00;20.00,60.00 ;90.00;1965.00;30.00,60.00 ;90.00;1965.00;30.00,70.00 ;110.00;2390.00;35.00,
Guabari,01-Apr-21,45.00;65.00;1435.00;20.00,70.00;105.00;2320.00;35.00,145.00 ;220.00;4855.00;75.00,160.00 ;240.00;5300.00;80.00,230.00 ;345.00;7615.00;115.00,230.00 ;345.00;7615.00;115.00,280.00 ;415.00;9270.00;140.00,
Laxmannath,01-Apr-21,65.00;100.00;2205.00;35.00,105.00;160.00;3560.00;55.00,225.00 ;335.00;7460.00;110.00,245.00 ;365.00;8135.00;120.00,350.00 ;525.00;11695.00;175.00,350.00 ;525.00;11695.00;175.00,425.00 ;640.00;14240.00;215.00,
Rangalibazna,01-Apr-21,70.00;105.00;2335.00;35.00,115.00;170.00;3775.00;55.00,235.00 ;355.00;7905.00;120.00,260.00 ;390.00;8625.00;130.00,370.00 ;560.00;12400.00;185.00,370.00 ;560.00;12400.00;185.00,455.00 ;680.00;15095.00;225.00,
Paschim Madati,01-Apr-21,80.00;120.00;2705.00;40.00,130.00;195.00;4370.00;65.00,275.00 ;410.00;9160.00;135.00,300.00 ;450.00;9995.00;150.00,430.00 ;645.00;14365.00;215.00,430.00 ;645.00;14365.00;215.00,525.00 ;785.00;17490.00;260.00,
Kishorpur (Chandermore),01-Apr-21,50.00;75.00;1615.00;NA,80.00;115.00;2605.00;NA,165.00 ;245.00;5460.00;NA,255.00 ;385.00;8565.00;NA,255.00 ;385.00;8565.00;NA,255.00 ;385.00;8565.00;NA,315.00 ;470.00;10425.00;NA,
Jaladhulagori (Dhulagarh),01-Apr-21,110.00;165.00;3690.00;NA,175.00;260.00;5810.00;NA,360.00 ;540.00;11980.00;NA,555.00 ;830.00;18485.00;NA,555.00 ;830.00;18485.00;NA,555.00 ;830.00;18485.00;NA,695.00 ;1045.00;23235.00;NA,
Gopgram (Shibpur),01-Apr-21,45.00;65.00;1495.00;NA,70.00;110.00;2415.00;NA,150.00 ;230.00;5060.00;NA,240.00 ;355.00;7930.00;NA,240.00 ;355.00;7930.00;NA,240.00 ;355.00;7930.00;NA,290.00 ;435.00;9655.00;NA,
Kalapathar,01-Apr-21,60.00;85.00;1925.00;30.00,95.00;140.00;3110.00;45.00,195.00 ;295.00;6520.00;100.00,215.00 ;320.00;7110.00;105.00,305.00 ;460.00;10220.00;155.00,305.00 ;460.00;10220.00;155.00,375.00 ;560.00;12445.00;185.00,
Debra,01-Apr-21,65.00;100.00;2185.00;NA,105.00;160.00;3525.00;NA,220.00 ;330.00;7390.00;NA,350.00 ;520.00;11585.00;NA,350.00 ;520.00;11585.00;NA,350.00 ;520.00;11585.00;NA,425.00 ;635.00;14105.00;NA,
Banskopa,01-Apr-21,75.00;110.00;2480.00;35.00,120.00;180.00;4005.00;60.00,250.00 ;380.00;8390.00;125.00,275.00 ;410.00;9150.00;135.00,395.00 ;590.00;13155.00;195.00,395.00 ;590.00;13155.00;195.00,480.00 ;720.00;16015.00;240.00,
Sarsawa,01-Apr-21,110.00;165.00;3655.00;55.00,175.00;265.00;5900.00;90.00,370.00 ;555.00;12365.00;185.00,405.00 ;605.00;13490.00;200.00,580.00 ;875.00;19390.00;290.00,580.00 ;875.00;19390.00;290.00,710.00 ;1060.00;23605.00;355.00,
Ghogarkuthi,01-Apr-21,35.00;50.00;1105.00;15.00,55.00;80.00;1790.00;25.00,110.00 ;170.00;3745.00;55.00,125.00 ;185.00;4085.00;60.00,175.00 ;265.00;5875.00;90.00,175.00 ;265.00;5875.00;90.00,215.00 ;320.00;7150.00;105.00,
Sayed Mazera,01-Apr-21,40.00;60.00;1360.00;20.00,65.00;100.00;2200.00;35.00,140.00 ;210.00;4610.00;70.00,150.00 ;225.00;5030.00;75.00,215.00 ;325.00;7230.00;110.00,215.00 ;325.00;7230.00;110.00,265.00 ;395.00;8805.00;130.00,
Lakshmipur,01-Apr-21,45.00;65.00;1490.00;NA,70.00;110.00;2410.00;NA,150.00 ;225.00;5045.00;NA,235.00 ;355.00;7915.00;NA,235.00 ;355.00;7915.00;NA,235.00 ;355.00;7915.00;NA,290.00 ;435.00;9635.00;NA,
Beliyad,01-Apr-21,80.00;125.00;2750.00;40.00,135.00;200.00;4440.00;65.00,280.00 ;420.00;9305.00;140.00,305.00 ;455.00;10155.00;150.00,440.00 ;655.00;14595.00;220.00,440.00 ;655.00;14595.00;220.00,535.00 ;800.00;17765.00;265.00,
Balibhasa,01-Apr-21,70.00;105.00;2330.00;35.00,115.00;170.00;3760.00;55.00,235.00 ;355.00;7880.00;120.00,260.00 ;385.00;8595.00;130.00,370.00 ;555.00;12355.00;185.00,370.00 ;555.00;12355.00;185.00,450.00 ;675.00;15040.00;225.00,
Dankuni,01-Apr-21,90.00;135.00;2955.00;45.00,145.00;215.00;4770.00;70.00,300.00 ;450.00;9995.00;150.00,325.00 ;490.00;10905.00;165.00,470.00 ;705.00;15675.00;235.00,470.00 ;705.00;15675.00;235.00,570.00 ;860.00;19080.00;285.00,
Chakseherdi (Gajol) Bagsarai,01-Apr-21,55.00;80.00;1785.00;NA,85.00;130.00;2885.00;NA,180.00 ;270.00;6045.00;NA,285.00 ;425.00;9480.00;NA,285.00 ;425.00;9480.00;NA,285.00 ;425.00;9480.00;NA,345.00 ;520.00;11545.00;NA,
Rawason Bridge (MoRTH),23-Feb-2013          ,5.00;5.00;150.00,10.00;10.00;300.00,15.00 ;15.00;450.00,15.00 ;15.00;450.00,,,,01-Apr-14
Deoria,01-Apr-21,80.00;120.00;2715.00;40.00,130.00;195.00;4385.00;65.00,275.00 ;415.00;9190.00;140.00,300.00 ;450.00;10025.00;150.00,430.00 ;650.00;14415.00;215.00,430.00 ;650.00;14415.00;215.00,525.00 ;790.00;17545.00;265.00,
Bahadrabad,01-Apr-21,85.00;130.00;2870.00;45.00,140.00;210.00;4640.00;70.00,290.00 ;435.00;9720.00;145.00,320.00 ;475.00;10605.00;160.00,455.00 ;685.00;15245.00;230.00,455.00 ;685.00;15245.00;230.00,555.00 ;835.00;18555.00;280.00,
Chhapar,01-Apr-21,50.00;75.00;1670.00;25.00,80.00;120.00;2695.00;40.00,170.00 ;255.00;5650.00;85.00,185.00 ;275.00;6160.00;90.00,265.00 ;400.00;8860.00;135.00,265.00 ;400.00;8860.00;135.00,325.00 ;485.00;10785.00;160.00,
Umapur,01-Apr-21,40.00;60.00;1375.00;20.00,65.00;100.00;2225.00;35.00,140.00 ;210.00;4660.00;70.00,150.00 ;230.00;5085.00;75.00,220.00 ;330.00;7305.00;110.00,220.00 ;330.00;7305.00;110.00,265.00 ;400.00;8895.00;135.00,
Banushi,01-Apr-21,35.00;50.00;1160.00;20.00,55.00;85.00;1870.00;30.00,120.00 ;175.00;3920.00;60.00,130.00 ;190.00;4275.00;65.00,185.00 ;275.00;6145.00;90.00,185.00 ;275.00;6145.00;90.00,225.00 ;335.00;7480.00;110.00,
Bhagwanpur,01-Apr-21,20.00;30.00;655.00;10.00,30.00;50.00;1060.00;15.00,65.00 ;100.00;2215.00;35.00,75.00 ;110.00;2420.00;35.00,105.00 ;155.00;3475.00;50.00,105.00 ;155.00;3475.00;50.00,125.00 ;190.00;4235.00;65.00,
Usaka ( Chamari),01-Apr-21,90.00;135.00;2975.00;45.00,145.00;215.00;4805.00;70.00,300.00 ;455.00;10070.00;150.00,330.00 ;495.00;10985.00;165.00,475.00 ;710.00;15790.00;235.00,475.00 ;710.00;15790.00;235.00,575.00 ;865.00;19225.00;290.00,
Thriyakhetal,01-Apr-21,135.00;200.00;4455.00;NA,205.00;310.00;6840.00;NA,415.00 ;620.00;13790.00;NA,630.00 ;940.00;20925.00;NA,630.00 ;940.00;20925.00;NA,630.00 ;940.00;20925.00;NA,815.00 ;1225.00;27240.00;NA,
Tendua (Gorakhpur Bypass),01-Apr-21,85.00;125.00;2795.00;40.00,135.00;205.00;4515.00;70.00,285.00 ;425.00;9455.00;140.00,310.00 ;465.00;10315.00;155.00,445.00 ;665.00;14830.00;220.00,445.00 ;665.00;14830.00;220.00,540.00 ;810.00;18055.00;270.00,
Vighakhet,01-Apr-21,75.00;110.00;2475.00;35.00,120.00;180.00;3995.00;60.00,250.00 ;375.00;8370.00;125.00,275.00 ;410.00;9130.00;135.00,395.00 ;590.00;13125.00;195.00,395.00 ;590.00;13125.00;195.00,480.00 ;720.00;15975.00;240.00,
Somna,01-Apr-21,160.00;240.00;5300.00;NA,245.00;365.00;8105.00;NA,490.00 ;735.00;16325.00;NA,740.00 ;1110.00;24685.00;NA,740.00 ;1110.00;24685.00;NA,740.00 ;1110.00;24685.00;NA,970.00 ;1455.00;32310.00;NA,
Siwaya,01-Jul-2019          ,85.00;NA;NA;40.00,155.00;NA;NA;75.00,310.00 ;NA;NA;155.00,500.00 ;NA;NA;250.00,500.00 ;NA;NA;250.00,500.00 ;NA;NA;250.00,500.00 ;NA;NA;250.00,30-Jun-20
Sherpur Chamrah,01-Apr-21,45.00;65.00;1435.00;20.00,70.00;105.00;2320.00;35.00,145.00 ;220.00;4860.00;75.00,160.00 ;240.00;5300.00;80.00,230.00 ;345.00;7620.00;115.00,230.00 ;345.00;7620.00;115.00,280.00 ;420.00;9280.00;140.00,
Soraon,,,,,,,,,
Tundla,01-Apr-21,90.00;135.00;3015.00;45.00,145.00;220.00;4870.00;75.00,305.00 ;460.00;10205.00;155.00,335.00 ;500.00;11130.00;165.00,480.00 ;720.00;16000.00;240.00,480.00 ;720.00;16000.00;240.00,585.00 ;870.00;19480.00;290.00,
Srinagar,01-Apr-21,110.00;165.00;3695.00;NA,180.00;270.00;5970.00;NA,375.00 ;565.00;12510.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,715.00 ;1075.00;23885.00;NA,
Semri,01-Apr-21,105.00;160.00;3510.00;55.00,170.00;255.00;5665.00;85.00,355.00 ;535.00;11875.00;180.00,390.00 ;585.00;12955.00;195.00,560.00 ;840.00;18620.00;280.00,560.00 ;840.00;18620.00;280.00,680.00 ;1020.00;22670.00;340.00,
Sahson,,,,,,,,,
Salemgarh,01-Apr-21,55.00;80.00;1760.00;25.00,85.00;130.00;2840.00;45.00,180.00 ;270.00;5950.00;90.00,195.00 ;290.00;6490.00;95.00,280.00 ;420.00;9335.00;140.00,280.00 ;420.00;9335.00;140.00,340.00 ;510.00;11360.00;170.00,
Lacchhiwala,01-Apr-21,85.00;130.00;2915.00;45.00,140.00;210.00;4710.00;70.00,295.00 ;445.00;9870.00;150.00,325.00 ;485.00;10765.00;160.00,465.00 ;695.00;15475.00;230.00,465.00 ;695.00;15475.00;230.00,565.00 ;850.00;18840.00;285.00,
Sabli,01-Apr-21,40.00;60.00;1345.00;20.00,65.00;100.00;2175.00;35.00,135.00 ;205.00;4555.00;70.00,150.00 ;225.00;4965.00;75.00,215.00 ;320.00;7140.00;105.00,215.00 ;320.00;7140.00;105.00,260.00 ;390.00;8690.00;130.00,
Plaza 1,01-Sep-2019          ,26.00;39.00;780.00;NA,39.00;59.00;1170.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,31-Aug-20
Nuruddinpur,01-Apr-21,70.00;105.00;2350.00;35.00,115.00;170.00;3795.00;55.00,240.00 ;360.00;7955.00;120.00,260.00 ;390.00;8680.00;130.00,375.00 ;560.00;12475.00;185.00,375.00 ;560.00;12475.00;185.00,455.00 ;685.00;15185.00;230.00,
Ramnagar Gansiyari,01-Apr-21,45.00;70.00;1530.00;25.00,75.00;110.00;2470.00;35.00,155.00 ;235.00;5180.00;80.00,170.00 ;255.00;5650.00;85.00,245.00 ;365.00;8120.00;120.00,245.00 ;365.00;8120.00;120.00,295.00 ;445.00;9885.00;150.00,
Plaza 2,01-Sep-2019          ,26.00;39.00;780.00;NA,39.00;59.00;1170.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,78.00 ;117.00;2341.00;NA,31-Aug-20
Nawabganj (Adampur)only entry exit lane plaza at Allahabad Bypass,01-Apr-21,215.00;320.00;7090.00;105.00,335.00;505.00;11245.00;170.00,700.00 ;1045.00;23250.00;350.00,760.00 ;1145.00;25400.00;380.00,1080.00 ;1625.00;36055.00;540.00,1080.00 ;1625.00;36055.00;540.00,1345.00 ;2020.00;44915.00;675.00,
Raibha,01-Apr-21,70.00;105.00;2310.00;35.00,110.00;170.00;3730.00;55.00,235.00 ;350.00;7815.00;115.00,255.00 ;385.00;8525.00;130.00,370.00 ;550.00;12250.00;185.00,370.00 ;550.00;12250.00;185.00,445.00 ;670.00;14915.00;225.00,
Nawabganj,,,,,,,,,
Pidhi,01-Apr-21,70.00;100.00;2280.00;35.00,110.00;165.00;3680.00;55.00,230.00 ;345.00;7710.00;115.00,250.00 ;380.00;8410.00;125.00,365.00 ;545.00;12090.00;180.00,365.00 ;545.00;12090.00;180.00,440.00 ;660.00;14715.00;220.00,
Ronahi,01-Apr-21,105.00;155.00;3425.00;50.00,165.00;250.00;5535.00;85.00,350.00 ;520.00;11600.00;175.00,380.00 ;570.00;12650.00;190.00,545.00 ;820.00;18190.00;275.00,545.00 ;820.00;18190.00;275.00,665.00 ;995.00;22140.00;330.00,
Nawabganj,01-Apr-21,80.00;120.00;2655.00;40.00,130.00;195.00;4290.00;65.00,270.00 ;405.00;8990.00;135.00,295.00 ;440.00;9810.00;145.00,425.00 ;635.00;14100.00;210.00,425.00 ;635.00;14100.00;210.00,515.00 ;770.00;17165.00;255.00,
Niyamatpur Ekrotiya,01-Apr-21,130.00;190.00;4275.00;NA,200.00;300.00;6630.00;NA,405.00 ;605.00;13460.00;NA,615.00 ;925.00;20550.00;NA,615.00 ;925.00;20550.00;NA,615.00 ;925.00;20550.00;NA,790.00 ;1190.00;26410.00;NA,
Muziana Hetim,01-Apr-21,55.00;80.00;1765.00;25.00,85.00;130.00;2855.00;45.00,180.00 ;270.00;5980.00;90.00,195.00 ;295.00;6525.00;100.00,280.00 ;420.00;9380.00;140.00,280.00 ;420.00;9380.00;140.00,345.00 ;515.00;11415.00;170.00,
Nainsar,01-Apr-21,30.00;45.00;1005.00;15.00,50.00;75.00;1625.00;25.00,100.00 ;155.00;3405.00;50.00,110.00 ;165.00;3715.00;55.00,160.00 ;240.00;5340.00;80.00,160.00 ;240.00;5340.00;80.00,195.00 ;295.00;6500.00;100.00,
Mungari,01-Apr-21,35.00;55.00;1220.00;20.00,60.00;90.00;1965.00;30.00,125.00 ;185.00;4120.00;60.00,135.00 ;200.00;4495.00;65.00,195.00 ;290.00;6465.00;95.00,195.00 ;290.00;6465.00;95.00,235.00 ;355.00;7870.00;120.00,
Mandawnagar,01-Apr-21,80.00;115.00;2590.00;40.00,125.00;190.00;4180.00;65.00,265.00 ;395.00;8765.00;130.00,285.00 ;430.00;9560.00;145.00,410.00 ;620.00;13740.00;205.00,410.00 ;620.00;13740.00;205.00,500.00 ;755.00;16730.00;250.00,
Mohammad Ibrahimpur,01-Apr-21,65.00;95.00;2140.00;30.00,105.00;155.00;3455.00;50.00,215.00 ;325.00;7235.00;110.00,235.00 ;355.00;7895.00;120.00,340.00 ;510.00;11345.00;170.00,340.00 ;510.00;11345.00;170.00,415.00 ;620.00;13815.00;205.00,
Mahuvan,01-Apr-21,110.00;165.00;3695.00;NA,180.00;270.00;5970.00;NA,375.00 ;565.00;12510.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,590.00 ;885.00;19620.00;NA,715.00 ;1075.00;23885.00;NA,
Madrak,01-Apr-21,30.00;45.00;990.00;NA,50.00;70.00;1595.00;NA,100.00 ;150.00;3345.00;NA,155.00 ;235.00;5245.00;NA,155.00 ;235.00;5245.00;NA,155.00 ;235.00;5245.00;NA,190.00 ;285.00;6385.00;NA,
Khokhraj,,,,,,,,,
Khanna,01-Apr-21,50.00;70.00;1590.00;NA,75.00;115.00;2565.00;NA,160.00 ;240.00;5375.00;NA,255.00 ;380.00;8425.00;NA,255.00 ;380.00;8425.00;NA,255.00 ;380.00;8425.00;NA,310.00 ;460.00;10260.00;NA,
Kurana,01-Apr-21,90.00;140.00;3065.00;45.00,145.00;220.00;4915.00;75.00,310.00 ;465.00;10295.00;155.00,335.00 ;505.00;11230.00;170.00,485.00 ;725.00;16145.00;240.00,485.00 ;725.00;16145.00;240.00,590.00 ;885.00;19650.00;295.00,
Kunwarpur,01-Apr-21,65.00;100.00;2235.00;35.00,110.00;160.00;3605.00;55.00,225.00 ;340.00;7560.00;115.00,245.00 ;370.00;8245.00;125.00,355.00 ;535.00;11855.00;180.00,355.00 ;535.00;11855.00;180.00,435.00 ;650.00;14430.00;215.00,
Katoghan,01-Apr-2019          ,55.00;85.00;1840.00;30.00,90.00;135.00;2975.00;45.00,185.00 ;280.00;6235.00;95.00,205.00 ;305.00;6800.00;100.00,295.00 ;440.00;9775.00;145.00,295.00 ;440.00;9775.00;145.00,355.00 ;535.00;11900.00;180.00,31-Mar-20
Jindpur,01-Apr-21,50.00;80.00;1740.00;25.00,85.00;125.00;2810.00;40.00,175.00 ;265.00;5885.00;90.00,195.00 ;290.00;6415.00;95.00,275.00 ;415.00;9225.00;140.00,275.00 ;415.00;9225.00;140.00,335.00 ;505.00;11230.00;170.00,
Khairabad (Karondi),01-Sep-2019          ,45.00;65.00;1275.00;20.00,75.00;110.00;2235.00;35.00,150.00 ;225.00;4465.00;75.00,240.00 ;360.00;7175.00;120.00,240.00 ;360.00;7175.00;120.00,320.00 ;480.00;9570.00;160.00,240.00 ;360.00;7175.00;120.00,31-Aug-20
Lalanagar,01-Apr-21,190.00;290.00;6395.00;95.00,310.00;465.00;10330.00;155.00,650.00 ;975.00;21645.00;325.00,710.00 ;1060.00;23610.00;355.00,1020.00 ;1525.00;33940.00;510.00,1020.00 ;1525.00;33940.00;510.00,1240.00 ;1860.00;41320.00;620.00,
Harro,01-Apr-21,55.00;80.00;1830.00;25.00,90.00;135.00;2960.00;45.00,185.00 ;280.00;6200.00;95.00,205.00 ;305.00;6765.00;100.00,290.00 ;440.00;9725.00;145.00,290.00 ;440.00;9725.00;145.00,355.00 ;535.00;11835.00;180.00,
Handia,,,,,,,,,
Hadawa,01-Apr-21,20.00;30.00;665.00;10.00,30.00;50.00;1075.00;15.00,70.00 ;100.00;2250.00;35.00,75.00 ;110.00;2455.00;35.00,105.00 ;160.00;3530.00;55.00,105.00 ;160.00;3530.00;55.00,130.00 ;195.00;4295.00;65.00,
Gurau (Semra Atikabad),01-Apr-21,100.00;145.00;3250.00;50.00,160.00;235.00;5255.00;80.00,330.00 ;495.00;11005.00;165.00,360.00 ;540.00;12005.00;180.00,520.00 ;775.00;17260.00;260.00,520.00 ;775.00;17260.00;260.00,630.00 ;945.00;21010.00;315.00,
Joya,01-Apr-2019          ,70.00;100.00;2260.00;35.00,110.00;165.00;3645.00;55.00,230.00 ;345.00;7640.00;115.00,250.00 ;375.00;8335.00;125.00,360.00 ;540.00;11985.00;180.00,360.00 ;540.00;11985.00;180.00,440.00 ;655.00;14590.00;220.00,31-Mar-20
Itunja (Barabhari),01-Sep-2019          ,45.00;65.00;1275.00;20.00,75.00;110.00;2235.00;35.00,150.00 ;225.00;4465.00;75.00,240.00 ;360.00;7175.00;120.00,240.00 ;360.00;7175.00;120.00,320.00 ;480.00;9570.00;160.00,240.00 ;360.00;7175.00;120.00,31-Aug-20
Dakhina Sekhpur,01-Apr-21,95.00;145.00;3205.00;50.00,155.00;235.00;5175.00;80.00,325.00 ;490.00;10845.00;165.00,355.00 ;530.00;11830.00;175.00,510.00 ;765.00;17005.00;255.00,510.00 ;765.00;17005.00;255.00,620.00 ;930.00;20705.00;310.00,
Chhapwa,01-Apr-21,30.00;45.00;1035.00;15.00,50.00;75.00;1670.00;25.00,105.00 ;160.00;3500.00;55.00,115.00 ;170.00;3820.00;55.00,165.00 ;245.00;5490.00;80.00,165.00 ;245.00;5490.00;80.00,200.00 ;300.00;6685.00;100.00,
